Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
Bodoland Territorial Council-PWD||Director Cum CHD - PWD BTC,No.22/ACE/Infra-Dev/2025-26/95,2026_BTC_51341_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Tender Documents,19-Feb-2026 10:00 AM,05-Mar-2026 02:00 PM,19-Feb-2026 10:00 AM,05-Mar-2026 12:30 PM,19-Feb-2026 10:00 AM ,05-Mar-2026 12:00 PM ,19-Feb-2026 12:00 PM,05-Mar-2026 12:30 PM,10-Mar-2026 10:00 AM,"1,00,000",Yes,percentage,2.0%,Nil,Nil,1.0,SBI Bank,"1,000",Nil,Nil,No,Sri J.M. Basumatary,"O/o the Addl. Chief Engineer-cum-Director, PWD, BTC, Kokrajhar","Construction of Community Hall at Gaurang near Gaurang High School, Balajan Tiniali Chariali VCDC, Kokrajhar Development Block, Kokrajhar District under Grants to BTC for Infrastructure Development Fund for the FY 2025-26.","Construction of Community Hall at Gaurang near Gaurang High School, Balajan Tiniali Chariali VCDC, Kokrajhar Development Block, Kokrajhar District under Grants to BTC for Infrastructure Development Fund for the FY 2025-26.",Refer to SBD ,NA ,"49,99,999",Civil Works - Building,NA ,Tender,180.0,180.0,Kokrajhar,783370.0,NA ,NA ,NA ,Kokrajhar,No ,No,AOC,11-May-2026,"INR 4,999,999",180.0,MILAN MAHILARY,11-May-2026 07:34 PM,AOCSangrila.pdf (739.00 KB),L1,1.0,300332.0,MRS. SANGRILA BRAHMA,INR,"4,999,999",1.0,300342.0,Gautam Brahma,04-Mar-2026 10:19 PM,Rejected-AOC,L2,11-May-2026 07:34 PM,Finance,Minutes of Financial,MILAN MAHILARY,11-May-2026 07:30 PM,finance_81544.pdf,BOQ Comparative Chart,Sri Jaga Mohan Basumatary,Internal,"Sri Jaga Mohan Basumatary, Sri Rabin Ch. Brahma, Sri Jintu Uzir, Sri Arun Ch. Basumatary.",MILAN MAHILARY,11-May-2026 07:32 PM,finsummary_81544.pdf (632.62 KB),Bodoland Territorial Council-PWD||Director Cum CHD - PWD BTC,2026_BTC_51341_1,No.22/ACE/Infra-Dev/2025-26/95,"Construction of Community Hall at Gaurang near Gaurang High School, Balajan Tiniali Chariali VCDC, Kokrajhar Development Block, Kokrajhar District under Grants to BTC for Infrastructure Development Fund for the FY 2025-26.",Technical,Technical Bid Opening,Khanthai Basumatary,09-Mar-2026 08:51 PM,,Sri Jaga Mohan Basumatary,Internal,"Sri Jaga Mohan Basumatary, Sri Rabin Ch. Brahma, Smt. Khanthai Basumatary, Sri Jintu Uzir, Sri Arun Ch. Basumatary.",Khanthai Basumatary,09-Mar-2026 08:53 PM,10-Mar-2026 10:00 AM,techsummary_81544.pdf (728.90 KB),AOC
,,,,,,,,,,,,,,,,.pdf,Technical Documents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,2.0,300332.0,MRS. SANGRILA BRAHMA,04-Mar-2026 10:04 PM,Accepted-AOC,L1,11-May-2026 07:34 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,2.0,Finance,.pdf,Form of Bid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,3.0,300450.0,Punyajit Narzary,05-Mar-2026 10:41 AM,Rejected-AOC,L3,11-May-2026 07:34 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.xls,Bill of Quantities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
