Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Corrigendum Title,Corrigendum Type,View,S.No.1,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,S.No.2,Revocation Title,Revocation Description,Published Date,Document Name,Document Size(in KB),Revocated To,Tender Stage
Guwahati Municipal Corporation,GER/CE/2461/2024/Part-I/5 Date_03/02/2025,2025_GMC_42568_5,Yes,Open Tender,Lump-sum,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Technical Qualification Part,06-Feb-2025 05:30 PM,06-Mar-2025 02:30 PM,06-Feb-2025 05:35 PM,06-Mar-2025 02:00 PM,NA ,NA ,21-Feb-2025 10:00 AM,06-Mar-2025 02:00 PM,23-Apr-2025 04:45 PM,"13,000",Yes,fixed,,Nil,Nil,1.0,Date Extension,Date,,1.0,SBI Bank,200.0,Nil,Nil,No,"The Commissioner,GMC","Office of the Commissioner, GMC,Dispur-Ganeshguri, Guwahati-781006","Cleaning, Desilting and Maintenance of Drains as per package DSLT/D-I/08 under Mitigation of Urban Flood in Guwahati City under Guwahati Municipal Corporation for the year 2024-25","Cleaning, Desilting and Maintenance of Drains (as packaged) under Mitigation of Urban Flood in Guwahati City under Guwahati Municipal Corporation for the year 2024-25.",Please refer Tender Document ,NA ,"6,22,513",Miscellaneous Works,NA ,Tender,120.0,NA ,Guwahati,781006.0,Guwahati ,"Office of the Commissioner, GMC,Dispur-Ganeshguri, Guwahati-781006 ",16-Feb-2025 12:00 PM ,"O/o the Commissioner, GMC, Dispur-Ganeshguri,G-06",No ,No,AOC,09-Jun-2025,"INR 445,719.31",300.0,Dheeraj Patel,19-May-2026 11:04 AM,D_I_08.pdf (610.00 KB),1.0,259805.0,BHAGNESWAR KALITA,INR,"445,719.31",1,259805,BHAGNESWAR KALITA,06-Mar-2025 11:08 AM,Accepted-AOC,Work allotted to the Lowest Bidder.,19-May-2026 11:05 AM,Finance,Bid has been opened and admitted for further evaluation,Chandan Talukdar,23-Apr-2025 05:38 PM,,BOQ Comparative Chart,"Addl. Commissioner,GMC",Internal,,Chandan Talukdar,09-Jun-2025 05:44 PM,finsummary_68325.pdf (1401.20 KB),Guwahati Municipal Corporation,2025_GMC_42568_5,GER/CE/2461/2024/Part-I/5 Date_03/02/2025,"Cleaning, Desilting and Maintenance of Drains as per package DSLT/D-I/08 under Mitigation of Urban Flood in Guwahati City under Guwahati Municipal Corporation for the year 2024-25",Technical,Bid has been opened and admitted for further evaluation,Chandan Talukdar,12-Apr-2025 02:10 PM,,"Addl. Commissioner,GMC",Internal,,Chandan Talukdar,23-Apr-2025 04:39 PM,23-Apr-2025 04:45 PM,techsummary_68325.pdf (888.02 KB),1.0,Tender Revocation,Tender Revocation,12-Apr-2025 01:52 PM,Revo.pdf ,479.03,Technical Opening,AOC
,,,,,,,,,,,,,,,,.pdf,Bid Downloaded from the portal,,,,,,,,,,,,,,,,2.0,Corrigendum,Technical Bid,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,2,260615,BIBHU KUMAR DEY,06-Mar-2025 12:59 AM,Rejected-Technical,As per updated Minutes,23-Apr-2025 04:39 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,2.0,Finance,.xls,Price Bid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,3,259270,HRISHIKESH TALUKDAR,28-Feb-2025 12:56 PM,Rejected-AOC,Work allotted to the Lowest Bidder.,19-May-2026 11:05 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,4,259902,ISHA HAQUE SAIKIA,06-Mar-2025 01:55 PM,Rejected-Technical,As per updated Minutes,23-Apr-2025 04:39 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,5,260475,Matiur Rahman,04-Mar-2025 10:56 PM,Rejected-Technical,As per updated Minutes,23-Apr-2025 04:39 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,6,260456,NORTHEAST STAR COMMUNICATION PRIVATE LIMITED,05-Mar-2025 04:40 PM,Rejected-Technical,As per updated Minutes,23-Apr-2025 04:39 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,7,260229,Priyanka Das,05-Mar-2025 11:57 PM,Rejected-Technical,As per Minutes,23-Apr-2025 04:39 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,8,260044,PURNA CHETRY,06-Mar-2025 11:27 AM,Rejected-AOC,Work allotted to the Lowest Bidder.,19-May-2026 11:05 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,9,260557,RAJESH PAUL,06-Mar-2025 01:50 PM,Rejected-Technical,As per Minutes,23-Apr-2025 04:39 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,10,260595,SAHIL CHOUDHURY,05-Mar-2025 09:01 PM,Rejected-AOC,Work allotted to the Lowest Bidder.,19-May-2026 11:05 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
