Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage
Skill Employment and Entrepreneurship Department- Externally Aided Project||Assam Skill University Project- ADB Funded Tenders,GS02/ASU/CMN/094,2025_SEEDE_48676_1,Yes,Open Tender,Item Rate,Goods,1.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical/Finance,.pdf,Bidder Qualification Credentials,17-Nov-2025 03:30 PM,03-Dec-2025 03:00 PM,17-Nov-2025 03:30 PM,03-Dec-2025 02:00 PM,17-Nov-2025 04:00 PM ,24-Nov-2025 11:00 AM ,01-Dec-2025 11:00 AM,03-Dec-2025 02:00 PM,"36,000",No,fixed,,Nil,Nil,1.0,SBI Bank,0.0,Nil,Nil,No,"CEO, Assam Skill University Project cum Registrar,","Assam Skill University 3rd Floor, DECT Complex, Rehabari, Guwahati-08",Equipment for Basic Science,Equipment for Basic Science,Please refer Tender documents. ,NA ,,Laboratory and scientific equipment,NA ,Tender,90.0,NA ,"3rd Floor, DECT Complex, Rehabari, Guwahati-08",784125.0,NA ,NA ,NA ,"3rd Floor, DECT Complex, Rehabari, Guwahati-08",No ,No,AOC,05-May-2026,"INR 3,001,339.48",45.0,Mintu Sinha,06-May-2026 11:29 AM,SignedBasic.pdf (1708.00 KB),1.0,288006.0,Valeur Fabtex Private Limited,INR,"3,001,339.48",1,288240,ASSAM CHEMICALS & INSTRUMENTS CORPORATION,03-Dec-2025 10:10 AM,Rejected-Finance,L4 Bidder,05-May-2026 04:10 PM,Finance,Bid Opened,Mintu Sinha,03-Dec-2025 03:52 PM,,BOQ Comparative Chart,"Chief Executive Officer, ASUP",Internal,,Mintu Sinha,05-May-2026 04:10 PM,finsummary_77352.pdf (240.29 KB),Skill Employment and Entrepreneurship Department- Externally Aided Project||Assam Skill University Project- ADB Funded Tenders,2025_SEEDE_48676_1,GS02/ASU/CMN/094,Equipment for Basic Science,"Chief Executive Officer, ASUP",Internal,,Mintu Sinha,05-May-2026 03:53 PM,techsummary_77352.pdf (146.84 KB),AOC
,,,,,,,,,,,,,,,,.pdf,"Technical Specifications,Catalogues and any other documents",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,2,288207,B N ENTERPRISE,02-Dec-2025 08:12 PM,Rejected-Finance,L3 Bidder,05-May-2026 04:10 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.xls,Item Rate BoQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,3,288048,J.N ASSOCIATE,01-Dec-2025 04:20 PM,Rejected-Finance,L2 Bidder,05-May-2026 04:10 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,4,288006,Valeur Fabtex Private Limited,03-Dec-2025 01:47 PM,Accepted-AOC,Lowest Evaluated Substantial Responsive Bid,06-May-2026 11:29 AM,,,,,,,,,,,,,,,,,,,,,,,AOC
