Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
Guwahati Municipal Corporation,GER/CE/2525/2025/Part-I/ 9 Date_ 22 /01/2026,2026_GMC_50622_63,Yes,Open Tender,Lump-sum,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,TECHNICAL QUALIFICATION PART,05-Feb-2026 10:00 AM,16-Feb-2026 02:30 PM,05-Feb-2026 10:05 AM,16-Feb-2026 02:00 PM,NA ,NA ,11-Feb-2026 10:00 AM,16-Feb-2026 02:00 PM,06-Mar-2026 02:00 PM,"39,000",Yes,fixed,,Nil,Nil,1.0,SBI Bank,400.0,Nil,Nil,No,"The Commissioner,GMC","Office of the Commissioner, GMC, Dispur-Ganeshguri, Guwahati-781006",Package No. DSLT-Div-V/9,"Cleaning, Desilting and Maintenance of Drains (Package No. DSLT-Div-V/9) under Mitigation of Urban Flood in Guwahati City under Guwahati Municipal Corporation for the year 2026",Please Refer Tender Documents.  ,NA ,"19,28,000",Miscellaneous Works,NA ,Tender,120.0,NA ,Guwahati,781006.0,Guwahati ,"Conference Hall, Guwahati Municipal Corporation, Uzan bazar, Guwahati ",05-Feb-2026 12:00 PM ,"Office of the Commissioner, GMC,",No ,No,AOC,06-May-2026,"INR 1,639,764",300.0,Dheeraj Patel,06-May-2026 07:47 PM,5_09.pdf (189.00 KB),1.0,297400.0,MD SAFI ALI,INR,"1,639,764",1,297848,HRIDAY JUGAL DAS,15-Feb-2026 11:01 PM,Rejected-AOC,Work allotted to the Lowest Bidder.,06-May-2026 07:47 PM,Finance,Bid has been opened and admitted for further evaluation,Chandan Talukdar,06-Mar-2026 05:30 PM,,BOQ Comparative Chart,Additional Commissioner,Internal,,Dheeraj Patel,06-May-2026 11:08 AM,finsummary_80893.pdf (667.80 KB),Guwahati Municipal Corporation,2026_GMC_50622_63,GER/CE/2525/2025/Part-I/ 9 Date_ 22 /01/2026,Package No. DSLT-Div-V/9,Technical,Bid has been opened and admitted for further evaluation,Chandan Talukdar,18-Feb-2026 04:49 PM,,"Addl. Commissioner,GMC",Internal,,Chandan Talukdar,06-Mar-2026 12:11 PM,06-Mar-2026 02:00 PM,techsummary_80893.pdf (803.81 KB),AOC
,,,,,,,,,,,,,,,,.pdf,BID DOCUMENT DOWNLOADED FROM THE PORTAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,2,297400,MD SAFI ALI,15-Feb-2026 05:58 PM,Accepted-AOC,Work allotted to the Lowest Bidder.,06-May-2026 07:47 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,2.0,Finance,.xls,FINANCIAL PROPOSAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,3,298028,RAHUL KALITA,16-Feb-2026 12:18 AM,Rejected-AOC,Work allotted to the Lowest Bidder.,06-May-2026 07:47 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
