Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
Public Works Roads Department,CE/DEV/TB/60/2025-26/06 Dtd- 14.07.2025,2025_PWD_45926_9,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,BID COST_BID SECURITY,26-Jul-2025 09:00 AM,14-Aug-2025 02:30 PM,26-Jul-2025 09:00 AM,14-Aug-2025 02:00 PM,26-Jul-2025 09:00 AM ,01-Aug-2025 12:00 PM ,26-Jul-2025 09:00 AM,14-Aug-2025 02:00 PM,15-Dec-2025 11:40 AM,"9,53,000",Yes,fixed,,Nil,Nil,1.0,SBI Bank,"9,530",Nil,Nil,No,"CE, PWD(Roads), Assam, Chandmari, Ghy-3","CE, PWD(Roads), Assam, Chandmari, Ghy-3","MMPPNA_RIDF_XXXI_25_26_248 Constrution of Dharapur Natun Basti Road including RCC drain, Approach Slab under Mukhya Mantrir Paki Path Nirman Achani (MMPPNA) under RIDF-XXXI of NABARD for the year 2025-26.","MMPPNA_RIDF_XXXI_25_26_248 Constrution of Dharapur Natun Basti Road including RCC drain, Approach Slab under Mukhya Mantrir Paki Path Nirman Achani (MMPPNA) under RIDF-XXXI of NABARD for the year 2025-26.",Please refer Tender Documents ,NA ,"4,76,49,000",Civil Works – Roads,NA ,Tender,180.0,365.0,Jalukbari,781013.0,"CE, PWD(Roads), Assam, Chandmari, Ghy-3 ","CE, PWD(Roads), Assam, Chandmari, Ghy-3 ",04-Aug-2025 12:00 PM ,"CE, PWD(Roads), Assam, Chandmari, Ghy-3",No ,No,AOC,04-Feb-2026,"INR 47,646,900",365.0,BHABANANDA DEKA,04-Feb-2026 01:38 PM,248A.pdf (510.00 KB),1.0,275192.0,Jintu Das,INR,"47,646,900",1.0,275192.0,Jintu Das,13-Aug-2025 02:02 AM,Accepted-AOC,Awarded,04-Feb-2026 01:38 PM,Finance,Admitted,BHABANANDA DEKA,04-Feb-2026 01:29 PM,,BOQ Comparative Chart,CE PWRD,Internal,,BHABANANDA DEKA,04-Feb-2026 01:36 PM,finsummary_72985.pdf (707.33 KB),Public Works Roads Department,2025_PWD_45926_9,CE/DEV/TB/60/2025-26/06 Dtd- 14.07.2025,"MMPPNA_RIDF_XXXI_25_26_248 Constrution of Dharapur Natun Basti Road including RCC drain, Approach Slab under Mukhya Mantrir Paki Path Nirman Achani (MMPPNA) under RIDF-XXXI of NABARD for the year 2025-26.",Technical,Admitted,Manoj Kr. Nath,15-Dec-2025 11:34 AM,,"CE,PWRD",Internal,,Manoj Kr. Nath,15-Dec-2025 11:36 AM,15-Dec-2025 11:40 AM,techsummary_72985.pdf (172.56 KB),AOC
,,,,,,,,,,,,,,,,.pdf,BIDDING DOCUMENTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,2.0,275194.0,Raju Mesh,13-Aug-2025 01:43 AM,Rejected-Finance,Rejected,04-Feb-2026 01:36 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,TECHNICAL QUALIFICATIONS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,FOB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
