Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
Irrigation Department||Chief Engineer(Major)-Irrigation Dept,2 (SOPD-G) 2025-26 Date_09.10.2025,2025_ID_47941_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,NIT,10-Oct-2025 06:00 PM,03-Nov-2025 10:00 AM,10-Oct-2025 06:15 PM,01-Nov-2025 02:00 PM,NA ,NA ,17-Oct-2025 10:00 AM,01-Nov-2025 02:00 PM,13-Nov-2025 09:00 AM,"5,79,549",Yes,percentage,2.0%,Nil,Nil,1.0,SBI Bank,"6,000",Nil,Nil,No,Chief Engineer Irrigation Assam,O-o the Chief Engineer Irrigation Assam Chandmari Guwahati-3,"Extension Renovation and Modernization (ERM) of Pahumara FIS under SOPD-G for the year 2025-26 under Tihu Bajali Division (Irrigation),Tihu Assam Pkg_1","Extension Renovation and Modernization (ERM) of Pahumara FIS under SOPD-G for the year 2025-26 under Tihu Bajali Division (Irrigation),Tihu Assam Pkg_1",Please refer Tender documents. ,NA ,"2,89,77,454",Civil Works,NA ,Tender,180.0,180.0,Tihu,781371.0,NA ,NA ,NA ,O-O the CEI Assam Chandmari Ghy-03,No ,No,AOC,06-Feb-2026,"INR 26,079,709",180.0,Manisha Barua,06-Feb-2026 02:58 PM,workorder.pdf (306.00 KB),AOC,1.0,284745.0,ASHOK KUMAR BAJAJ,INR,"26,079,709",1,284745,ASHOK KUMAR BAJAJ,01-Nov-2025 11:57 AM,Accepted-AOC,Awarded,06-Feb-2026 02:58 PM,Finance,Financial evaluation is in process,Manisha Barua,13-Nov-2025 10:33 AM,,BOQ Comparative Chart,Addl CE IMPL M and M Irrigation Assam,Internal,,Manisha Barua,06-Feb-2026 02:49 PM,finsummary_76360.pdf (808.28 KB),Irrigation Department||Chief Engineer(Major)-Irrigation Dept,2025_ID_47941_1,2 (SOPD-G) 2025-26 Date_09.10.2025,"Extension Renovation and Modernization (ERM) of Pahumara FIS under SOPD-G for the year 2025-26 under Tihu Bajali Division (Irrigation),Tihu Assam Pkg_1",Technical,Technical evaluation is in process,Manisha Barua,03-Nov-2025 11:43 AM,,Addl CE IMPLMajor and Medium Irrigation Assam,Internal,,Manisha Barua,12-Nov-2025 08:23 PM,13-Nov-2025 09:00 AM,techsummary_76360.pdf (2130.27 KB),AOC
,,,,,,,,,,,,,,,,.pdf,Bid document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,2,285281,BHASKAR BARMAN,01-Nov-2025 01:16 PM,Rejected-Finance,Not admitted,06-Feb-2026 02:49 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,Pre qualification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,3,285278,DIP JYOTI ROY,01-Nov-2025 01:07 PM,Rejected-Technical,Not admitted,12-Nov-2025 08:23 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,4,284520,J. N. ASSOCIATES,30-Oct-2025 03:56 PM,Rejected-Technical,Not admitted,12-Nov-2025 08:23 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,5,285240,ME.JP-JV,31-Oct-2025 09:09 PM,Rejected-Technical,Not admitted,12-Nov-2025 08:23 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,6,285282,M/S KAMAKHYA ENTERPRISE,01-Nov-2025 12:32 PM,Rejected-Technical,Not admitted,12-Nov-2025 08:23 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,7,284859,NABA BASUMATARY,31-Oct-2025 01:44 PM,Rejected-Technical,Not admitted,12-Nov-2025 08:23 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,8,285195,Parag Moni Sen Deka,31-Oct-2025 07:38 PM,Rejected-Technical,Not admitted,12-Nov-2025 08:23 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,9,284906,PRASANTA SUNRISE JV,01-Nov-2025 01:37 PM,Rejected-Technical,Not admitted,12-Nov-2025 08:23 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,10,285087,Sri Prasanta Kumar Deka,29-Oct-2025 05:21 PM,Rejected-Finance,Not Admitted,06-Feb-2026 02:49 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
