Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
Health and Family Welfare Department||Directorate of Medical Education-HFWD||Jorhat Medical College and Hospital-HFWD,SMEJ/JMCH/2552/21/PT3/25/5200 DATE. 07/11/2025,2025_HFWD_48578_2,Yes,Open Tender,Supply,Goods,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,PRE-QUALIFICATIONS,19-Nov-2025 02:30 PM,03-Dec-2025 01:00 PM,19-Nov-2025 02:30 PM,03-Dec-2025 12:00 PM,NA ,NA ,19-Nov-2025 03:00 PM,03-Dec-2025 12:00 PM,29-Dec-2025 12:00 PM,"60,000",No,fixed,,Nil,Nil,1.0,SBI Bank,"1,200",Nil,Nil,No,PRINCIPAL CUM CHIEF SUPERINTENDENT,"COLLEGE COUNCIL HALL, ADMIN BLOCK, JMC","SUPPLY OF RADIO DIAGNOSTICS AND INTERVENTIONAL ITEMS FOR JORHAT MEDICAL COLLEGE AND HOSPITAL, JORHAT ON RATE CONTRACT BASIS",SUPPLY OF RADIO DIAGNOSTICS AND INTERVENTIONAL ITEMS FOR JORHAT MEDICAL COLLEGE AND HOSPITAL JORHAT ON RATE CONTRACT BASIS,PLEASE REFER TENDER DOCUMENT  ,NA ,,Consumables (Hospital / Lab),NA ,Rate Contract,365.0,3.0,JORHAT MEDICAL COLLEGE,785001.0,NA ,NA ,NA ,"COLLEGE COUNCIL HALL, ADMIN BLOCK, JMC",No ,No,AOC,13-Jan-2026,INR 0,3.0,Chao Rochek Buragohain,20-Feb-2026 01:57 PM,AOCradiology20260001.pdf (3886.00 KB),1.0,288080.0,MEDICAL FILM SURGICAL,INR,0.0,1,287912,Abhay Enterprises,03-Dec-2025 10:37 AM,Accepted-AOC,ITEMWISE L1. AWARDED VALUE PUT ONLY AS PER SYSTEM REQUIREMENT NOT TO CONSIDERED FOR RATE CONTRACT,20-Feb-2026 01:58 PM,Finance,FINANCIAL BID WAS OPENED AND PROCEEDED FOR FURTHER FINANCIAL EVALUATION,Prosanta Hazarika,08-Jan-2026 04:46 PM,,BOQ Comparative Chart,Dr. Manab Jyoti Gohain,Internal,,Prosanta Hazarika,08-Jan-2026 05:00 PM,finsummary_77401.pdf (1652.31 KB),Health and Family Welfare Department||Directorate of Medical Education-HFWD||Jorhat Medical College and Hospital-HFWD,2025_HFWD_48578_2,SMEJ/JMCH/2552/21/PT3/25/5200 DATE. 07/11/2025,"SUPPLY OF RADIO DIAGNOSTICS AND INTERVENTIONAL ITEMS FOR JORHAT MEDICAL COLLEGE AND HOSPITAL, JORHAT ON RATE CONTRACT BASIS",Technical,TECHNICAL BID WAS PROCEEDED FOR FURTHER EVALUATION,Prosanta Hazarika,16-Dec-2025 03:55 PM,,Dr. Manab Jyoti Gohain,Internal,,Prosanta Hazarika,26-Dec-2025 04:46 PM,29-Dec-2025 12:00 PM,techsummary_77401.pdf (276.02 KB),AOC
,,,,,,,,,,,,,,,,.pdf,TECHNICAL QUALIFICATIONS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,2.0,288044.0,PEARL MED SCIENCES INDIA,INR,0.0,2,287108,Allex Medical Systems,27-Nov-2025 12:58 PM,Accepted-AOC,ITEMWISE L1. AWARDED VALUE PUT ONLY AS PER SYSTEM REQUIREMENT NOT TO CONSIDERED FOR RATE CONTRACT,20-Feb-2026 01:58 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,3.0,288040.0,P. B. DRUGS SURGICALS,INR,0.0,3,286743,BIO-CARE ASSOCIATES,29-Nov-2025 11:53 AM,Accepted-AOC,ITEMWISE L1. AWARDED VALUE PUT ONLY AS PER SYSTEM REQUIREMENT NOT TO CONSIDERED FOR RATE CONTRACT,20-Feb-2026 01:58 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,4.0,288032.0,BONES&MUSCLES,INR,0.0,4,288032,BONES&MUSCLES,01-Dec-2025 02:33 PM,Accepted-AOC,ITEMWISE L1. AWARDED VALUE PUT ONLY AS PER SYSTEM REQUIREMENT NOT TO CONSIDERED FOR RATE CONTRACT,20-Feb-2026 01:58 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,5.0,287944.0,NEWNESS,INR,0.0,5,288045,G S AGENCIES,03-Dec-2025 12:04 AM,Rejected-Technical,Not qualified,26-Dec-2025 04:46 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,6.0,287912.0,Abhay Enterprises,INR,0.0,6,288080,MEDICAL FILM SURGICAL,03-Dec-2025 10:16 AM,Accepted-AOC,ITEMWISE L1. AWARDED VALUE PUT ONLY AS PER SYSTEM REQUIREMENT NOT TO CONSIDERED FOR RATE CONTRACT,20-Feb-2026 01:58 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,7.0,287108.0,Allex Medical Systems,INR,0.0,7,287944,NEWNESS,02-Dec-2025 12:10 PM,Accepted-AOC,ITEMWISE L1. AWARDED VALUE PUT ONLY AS PER SYSTEM REQUIREMENT NOT TO CONSIDERED FOR RATE CONTRACT,20-Feb-2026 01:58 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,8.0,286743.0,BIO-CARE ASSOCIATES,INR,0.0,8,288040,P. B. DRUGS SURGICALS,02-Dec-2025 07:00 PM,Accepted-AOC,ITEMWISE L1. AWARDED VALUE PUT ONLY AS PER SYSTEM REQUIREMENT NOT TO CONSIDERED FOR RATE CONTRACT,20-Feb-2026 01:58 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,9.0,286563.0,Photochem,INR,0.0,9,288044,PEARL MED SCIENCES INDIA,02-Dec-2025 07:13 PM,Accepted-AOC,ITEMWISE L1. AWARDED VALUE PUT ONLY AS PER SYSTEM REQUIREMENT NOT TO CONSIDERED FOR RATE CONTRACT,20-Feb-2026 01:58 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,10,286563,Photochem,02-Dec-2025 04:28 PM,Accepted-AOC,ITEMWISE L1. AWARDED VALUE PUT ONLY AS PER SYSTEM REQUIREMENT NOT TO CONSIDERED FOR RATE CONTRACT,20-Feb-2026 01:58 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
