Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
Public Works Roads Department,T/CC/ETN/SIL/2025-26/935(T),2026_PWD_49807_2,Yes,Open Tender,Item Wise,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Technical Qualification Document,02-Jan-2026 09:00 AM,19-Jan-2026 03:10 PM,02-Jan-2026 09:00 AM,19-Jan-2026 03:00 PM,02-Jan-2026 10:00 AM ,08-Jan-2026 03:00 PM ,02-Jan-2026 03:00 PM,19-Jan-2026 03:00 PM,03-Feb-2026 09:00 AM,"1,30,100",Yes,fixed,,Nil,Nil,1.0,SBI Bank,"1,310",Nil,Nil,No,"The SE, PWD(Roads) Cachar Circle, Silchar.","O/o The SE, PWD(Roads) Cachar Circle, Silchar.","Recovery and reconstruction of (1) Water Works Road, (2) Water Works Road to Bagadahar via Bethukandi, (3) 3rd. Link Road from Ch.0.00m to Ch.500.00m (In stretches) under NDRF(PDNA-2022) for the year 2025-26","Recovery and reconstruction of (1) Water Works Road, (2) Water Works Road to Bagadahar via Bethukandi, (3) 3rd. Link Road from Ch.0.00m to Ch.500.00m (In stretches) under NDRF(PDNA-2022) for the year 2025-26, P/No.SE/SIL/NDRF(PDNA-2022)/25-26/2",Please refer Tender documents. ,NA ,"65,01,331",Civil Works – Roads,NA ,Rate Contract,180.0,210.0,Cachar District.,788001.0,"O/o The SE, PWD(Roads) Cachar Circle, Silchar. ","O/o The SE, PWD(Roads) Cachar Circle, Silchar. ",08-Jan-2026 02:00 PM ,"O/o The SE, PWD(Roads) Cachar Circle, Silchar.",No ,No,AOC,19-Feb-2026,"INR 6,500,800",210.0,Hema Kanta Nath,19-Feb-2026 10:12 PM,CS.pdf (3193.00 KB),Accepted,1.0,293490.0,OM TRADERS,INR,"6,500,800",1.0,293490.0,OM TRADERS,18-Jan-2026 04:43 PM,Accepted-AOC,Being the lowest bidder,19-Feb-2026 10:13 PM,Finance,Accepted,Hema Kanta Nath,19-Feb-2026 07:59 PM,finance_79175.pdf,BOQ Comparative Chart,"Ajit Kr. Das, S.E.,PWD(Roads) Cachar Circle, Silchar.",Internal,"Anirudhwa Naug, EE Silchar and Udharbond TR Divn, Mohit Ranjan Das, i/c AEE, Silchar TR Sub Divn HK Nath, i/c AEE(T/C) O/o The SE,PWD(Rd) Cachar Circle Silchar",Hema Kanta Nath,19-Feb-2026 10:04 PM,finsummary_79175.pdf (3192.56 KB),Public Works Roads Department,2026_PWD_49807_2,T/CC/ETN/SIL/2025-26/935(T),"Recovery and reconstruction of (1) Water Works Road, (2) Water Works Road to Bagadahar via Bethukandi, (3) 3rd. Link Road from Ch.0.00m to Ch.500.00m (In stretches) under NDRF(PDNA-2022) for the year 2025-26",Technical,Accepted,Hema Kanta Nath,02-Feb-2026 07:03 PM,technical_79175.pdf,"Ajit Kr. Das, S.E.,PWD(Roads) Cachar Circle, Silchar.",Internal,"Anirudhwa Naug, EE Silchar and Udharbond TR Divn, Mohit Ranjan Das, i/c AEE, Silchar TR Sub Divn HK Nath, i/c AEE(T/C) O/o The SE,PWD(Rd) Cachar Circle Silchar",Hema Kanta Nath,02-Feb-2026 07:06 PM,03-Feb-2026 09:00 AM,techsummary_79175.pdf (1400.85 KB),AOC
,,,,,,,,,,,,,,,,.pdf,SBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,2.0,293316.0,Sri Hirakjyoti Paul,18-Jan-2026 04:32 PM,Rejected-AOC,Not being the lowest bidder,19-Feb-2026 10:13 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,2.0,Finance,.pdf,FOB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
