Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
Public Works Roads Department,CE/DEV/TB/122/2025-26/06 Dated. 04-08-2025,2025_PWD_46196_30,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,BID COST_BID SECURITY,07-Aug-2025 03:00 PM,14-Aug-2025 02:30 PM,07-Aug-2025 03:00 PM,14-Aug-2025 02:00 PM,07-Aug-2025 03:00 PM ,11-Aug-2025 12:00 PM ,07-Aug-2025 03:00 PM,14-Aug-2025 02:00 PM,20-Aug-2025 05:00 PM,"6,00,000",Yes,fixed,,Nil,Nil,1.0,SBI Bank,"6,000",Nil,Nil,No,"O/O CE, PWRD,Chandmari,Guwahati-03","O/O CE, PWRD,Chandmari,Guwahati-03",BTR_SOPD_G_25_26_33 Improvement of road with GWC (1) Meska Chowk to Meska L.P. School under Kacharital VCDC (2) KK road to Gasbari under Bhuyakhat VCDC (3) Tangla Mahaliapara PWD road to Marami Chowk Dalagrant via Bangaon L.P. School under Bhuyakhat,BTR_SOPD_G_25_26_33 Improvement of road with GWC (1) Meska Chowk to Meska L.P. School under Kacharital VCDC (2) KK road to Gasbari under Bhuyakhat VCDC (3) Tangla Mahaliapara PWD road to Marami Chowk Dalagrant via Bangaon L.P. School under Bhuyakhat,Please refer Tender documents. ,NA ,"3,00,00,000",Civil Works – Roads,NA ,Tender,180.0,270.0,Tangla,784521.0,"O/O CE, PWRD,Chandmari,Guwahati-03 ","O/O CE, PWRD,Chandmari,Guwahati-03 ",11-Aug-2025 12:00 PM ,"O/O CE, PWRD,Chandmari,Guwahati-03",No ,No,AOC,24-Feb-2026,"INR 29,984,132",270.0,BHABANANDA DEKA,24-Feb-2026 01:18 PM,BTRSOPD33A.pdf (634.00 KB),1.0,275931.0,MADAN DEBNATH,INR,"29,984,132",1.0,276297.0,LANKESWAR RABHA,14-Aug-2025 04:45 AM,Rejected-Finance,Rejected,24-Feb-2026 01:16 PM,Finance,Admitted,BHABANANDA DEKA,24-Feb-2026 01:15 PM,,BOQ Comparative Chart,CE PWRD,Internal,,BHABANANDA DEKA,24-Feb-2026 01:16 PM,finsummary_73730.pdf (290.51 KB),Public Works Roads Department,2025_PWD_46196_30,CE/DEV/TB/122/2025-26/06 Dated. 04-08-2025,BTR_SOPD_G_25_26_33 Improvement of road with GWC (1) Meska Chowk to Meska L.P. School under Kacharital VCDC (2) KK road to Gasbari under Bhuyakhat VCDC (3) Tangla Mahaliapara PWD road to Marami Chowk Dalagrant via Bangaon L.P. School under Bhuyakhat,Technical,Admitted,Utpal Chakravarty,20-Aug-2025 03:34 PM,,"CE (Roads), PWRD, Assam",Internal,,Utpal Chakravarty,20-Aug-2025 03:37 PM,20-Aug-2025 05:00 PM,techsummary_73730.pdf (257.07 KB),AOC
,,,,,,,,,,,,,,,,.pdf,BIDDING DOCUMENTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,2.0,275931.0,MADAN DEBNATH,14-Aug-2025 01:00 AM,Accepted-AOC,Awarded,24-Feb-2026 01:18 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,TECHNICAL QUALIFICATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,FOB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
