Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
Public Works Roads Department,CE/DEV/TB/116/2025-26/06 Dtd- 16.08.2025,2025_PWD_47260_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,BID COST_BID SECURITY,04-Sep-2025 10:00 AM,19-Sep-2025 02:30 PM,04-Sep-2025 10:00 AM,19-Sep-2025 02:00 PM,04-Sep-2025 10:00 AM ,19-Sep-2025 12:00 PM ,05-Sep-2025 02:30 PM,19-Sep-2025 02:00 PM,27-Nov-2025 04:25 PM,"1,05,38,000",Yes,fixed,,Nil,Nil,1.0,SBI Bank,"30,000",Nil,Nil,No,"CE, PWD(Roads), Assam, Chandmari, Ghy-3","CE, PWD(Roads), Assam, Chandmari, Ghy-3",ASOM MALA 3.0_25_26_03 Improvement and Upgradation of Road from Quary Chowk to Anchali from ch.4.00km (Quary chowk) to ch.19.200km(Anchali) under Asom Mala 3.0 for the year 2025-26 (Phase-1),ASOM MALA 3.0_25_26_03 Improvement and Upgradation of Road from Quary Chowk to Anchali from ch.4.00km (Quary chowk) to ch.19.200km(Anchali) under Asom Mala 3.0 for the year 2025-26 (Phase-1),Please refer Tender Documents ,NA ,"52,69,22,000",Civil Works – Roads,NA ,Tender,180.0,540.0,Baksa,781315.0,"CE, PWD(Roads), Assam, Chandmari, Ghy-3 ","CE, PWD(Roads), Assam, Chandmari, Ghy-3 ",04-Sep-2025 12:00 PM ,"CE, PWD(Roads), Assam, Chandmari, Ghy-3",No ,No,AOC,10-Feb-2026,"INR 526,900,000",540.0,Brajen Kakati,10-Feb-2026 05:55 PM,ASOM03A.pdf (497.00 KB),1.0,281906.0,RAJU CHANDRA BASUMATARY,INR,"526,900,000",1.0,281906.0,RAJU CHANDRA BASUMATARY,18-Sep-2025 05:59 PM,Accepted-AOC,Awarded,10-Feb-2026 05:56 PM,Finance,Admitted,Brajen Kakati,10-Feb-2026 05:51 PM,,BOQ Comparative Chart,CE PWRD,Internal,,Brajen Kakati,10-Feb-2026 05:54 PM,finsummary_75409.pdf (526.38 KB),Public Works Roads Department,2025_PWD_47260_1,CE/DEV/TB/116/2025-26/06 Dtd- 16.08.2025,ASOM MALA 3.0_25_26_03 Improvement and Upgradation of Road from Quary Chowk to Anchali from ch.4.00km (Quary chowk) to ch.19.200km(Anchali) under Asom Mala 3.0 for the year 2025-26 (Phase-1),Technical,Admitted,Brajen Kakati,27-Nov-2025 04:19 PM,,CE PWRD,Internal,,Brajen Kakati,27-Nov-2025 04:20 PM,27-Nov-2025 04:25 PM,techsummary_75409.pdf (207.59 KB),AOC
,,,,,,,,,,,,,,,,.pdf,BIDDING DOCUMENTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,2.0,281883.0,Ranjan Dutta,18-Sep-2025 07:28 PM,Rejected-Finance,Rejected,10-Feb-2026 05:54 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,TECHNICAL QUALIFICATIONS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,FOB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
