Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Corrigendum Title,Corrigendum Type,View,S.No.1,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
Bodoland Territorial Council||Education-BTC,DOE/SSA/Koj_Udl/New_Const /2025-26/02,2025_BoTC_46126_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Tender Document,04-Aug-2025 09:00 AM,20-Aug-2025 03:00 PM,04-Aug-2025 09:00 AM,20-Aug-2025 02:00 PM,NA ,NA ,04-Aug-2025 09:00 AM,20-Aug-2025 02:00 PM,26-Aug-2025 01:05 PM,"1,89,700",Yes,fixed,,Nil,Nil,1.0,Extension_01,Date,,1.0,SBI Bank,"2,846",Nil,Nil,No,Director of Education BTC Kokrajhar,Office of the Director of Education BTC Kokrajhar,"Construction of 4 Nos. of Additional Class Room G plus 1 and 1 Nos of Science Laboratory at Jalabila Higher Secondary School, Kokrajhar under Samagra shiksha","Construction of 4 Nos. of Additional Class Room G plus 1 and 1 Nos of Science Laboratory at Jalabila Higher Secondary School, Kokrajhar under Samagra shiksha",Please refer Tender documents. ,NA ,"94,85,000",Civil Works,NA ,Tender,180.0,365.0,Jalabila,783347.0,NA ,NA ,NA ,Office of the Director of Education BTC Kokrajhar,No ,No,AOC,09-Feb-2026,"INR 9,483,949.97",365.0,Jagadish P Brahma,09-Feb-2026 09:09 PM,WO.pdf (660.00 KB),WO,1.0,277137.0,KRADHI MUSHAHARY,INR,"9,483,949.97",1,277293,BINITA BASUMATARY,20-Aug-2025 10:29 AM,Rejected-AOC,L2,09-Feb-2026 09:09 PM,Finance,Financial Opening Minutes,Jagadish P Brahma,09-Feb-2026 08:50 PM,finance_73490.pdf,BOQ Comparative Chart,"J.P. Brahma, AES, Director of Education, BTC Kokrajhar",Mixed,"P. Nandi, Acctt, Member, B. Barman, Superntendent, Member, J. Daimary, JE, Member, S. K. Dora, FA, Member, K.C. Boro, Superintending Engineer, Member",Jagadish P Brahma,09-Feb-2026 08:54 PM,finsummary_73490.pdf (815.85 KB),Bodoland Territorial Council||Education-BTC,2025_BoTC_46126_1,DOE/SSA/Koj_Udl/New_Const /2025-26/02,"Construction of 4 Nos. of Additional Class Room G plus 1 and 1 Nos of Science Laboratory at Jalabila Higher Secondary School, Kokrajhar under Samagra shiksha",Technical,Opening,Pankaj Nandi,26-Aug-2025 12:58 PM,technical_73490.pdf,"J.P. Brahma, AES, Director of Education",Mixed,"FA, BTC, Kokrajhar B. Barman, Superintedent DE, Kokrajhar, K. Samsukha, DPE, SSA, Kokrajhar, J. Daimary, JE, SSA, Kokrajhar, P. Nandi, Acctt, DE, Kokrajhar",Pankaj Nandi,26-Aug-2025 01:02 PM,26-Aug-2025 01:05 PM,techsummary_73490.pdf (1621.85 KB),AOC
,,,,,,,,,,,,,,,,.pdf,Technical Qualification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,2,277137,KRADHI MUSHAHARY,20-Aug-2025 10:33 AM,Accepted-AOC,L1,09-Feb-2026 09:09 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of Quantities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,3,277675,LONDON SWARGIARY,20-Aug-2025 10:25 AM,Rejected-AOC,L3,09-Feb-2026 09:09 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
