Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
Public Works Roads Department,CE/DEV/TB/60/2025-26/15 Dtd- 06.08.2025,2025_PWD_47085_9,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,BID COST_BID SECURITY,29-Aug-2025 09:00 AM,19-Sep-2025 02:30 PM,29-Aug-2025 09:00 AM,19-Sep-2025 02:00 PM,29-Aug-2025 09:00 AM ,19-Sep-2025 12:00 PM ,05-Sep-2025 02:30 PM,19-Sep-2025 02:00 PM,04-Dec-2025 02:00 PM,"10,49,000",Yes,fixed,,Nil,Nil,1.0,SBI Bank,"10,490",Nil,Nil,No,"CE, PWD(Roads), Assam, Chandmari, Ghy-3","CE, PWD(Roads), Assam, Chandmari, Ghy-3","MMPPNA_RIDF_XXXI_25_26_420 (1) Improvement of road from Gaurantari Pt-I to Kasipara road (Ch. 0.00 m to Ch. 1450.00 m), (2) Improvement of road from 13th Km of BF road to Sesargaon Pt-I road (Ch. 0.00 m to Ch. 1000.00 m), (3) Improvement of road from","MMPPNA_RIDF_XXXI_25_26_420 (1) Improvement of road from Gaurantari Pt-I to Kasipara road (Ch. 0.00 m to Ch. 1450.00 m), (2) Improvement of road from 13th Km of BF road to Sesargaon Pt-I road (Ch. 0.00 m to Ch. 1000.00 m), (3) Improvement of road from",Please refer Tender Documents ,NA ,"5,24,59,000",Civil Works – Roads,NA ,Tender,180.0,365.0,Bilasipara,783348.0,"CE, PWD(Roads), Assam, Chandmari, Ghy-3 ","CE, PWD(Roads), Assam, Chandmari, Ghy-3 ",04-Sep-2025 12:00 PM ,"CE, PWD(Roads), Assam, Chandmari, Ghy-3",No ,No,AOC,27-Mar-2026,"INR 52,449,800",365.0,Brajen Kakati,27-Mar-2026 01:13 PM,420Aa.pdf (518.00 KB),1.0,282228.0,M/S ASSAM AGENCIES,INR,"52,449,800",1.0,282230.0,Arjun Saha,17-Sep-2025 09:28 PM,Rejected-Finance,Rejected,27-Mar-2026 01:11 PM,Finance,Admitted,Brajen Kakati,27-Mar-2026 01:09 PM,,BOQ Comparative Chart,CE PWRD,Internal,,Brajen Kakati,27-Mar-2026 01:11 PM,finsummary_75084.pdf (320.67 KB),Public Works Roads Department,2025_PWD_47085_9,CE/DEV/TB/60/2025-26/15 Dtd- 06.08.2025,"MMPPNA_RIDF_XXXI_25_26_420 (1) Improvement of road from Gaurantari Pt-I to Kasipara road (Ch. 0.00 m to Ch. 1450.00 m), (2) Improvement of road from 13th Km of BF road to Sesargaon Pt-I road (Ch. 0.00 m to Ch. 1000.00 m), (3) Improvement of road from",Technical,Admitted,Utpal Chakravarty,04-Dec-2025 01:10 PM,,"CE (Roads), PWD, Assam",Internal,,Utpal Chakravarty,04-Dec-2025 01:12 PM,04-Dec-2025 02:00 PM,techsummary_75084.pdf (290.80 KB),AOC
,,,,,,,,,,,,,,,,.pdf,BIDDING DOCUMENTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,2.0,282228.0,M/S ASSAM AGENCIES,17-Sep-2025 09:18 PM,Accepted-AOC,Awarded,27-Mar-2026 01:13 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,TECHNICAL QUALIFICATIONS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,FOB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
