Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
Public Works Building and NH Department||Chief Engineer-Building - PWBNH,CE/TB-IV/29/2024/12 dated Guwahati 08/10/2025,2025_PWBNH_48142_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,BID COST_BID SECURITY,17-Oct-2025 03:05 PM,06-Nov-2025 04:00 PM,17-Oct-2025 03:05 PM,06-Nov-2025 02:00 PM,NA ,NA ,17-Oct-2025 03:05 PM,06-Nov-2025 02:00 PM,29-Nov-2025 04:25 PM,"40,79,394",Yes,percentage,2.0%,Nil,Nil,1.0,SBI Bank,"20,000",Nil,Nil,No,"CE (H_E) P.W. (H_E) Deptt Chandmari, Ghy-3","O/O The CE (H_E) P.W. (H_E) Deptt Chandmari, Ghy-3","Construction of 50 Bedded New Critical Care Hospital Block (G Plus 4) Hospital at Karimganj Medical College and Hospital at R.K. Nagar, Sribhumi District Assam","Construction of 50 Bedded New Critical Care Hospital Block (G Plus 4) Hospital at Karimganj Medical College and Hospital at R.K. Nagar, Sribhumi District Assam",Please refer Tender documents. ,NA ,"20,39,69,702",Civil Works - Building,NA ,Tender,180.0,545.0,Sribhumi,788710.0,"O/O The CE (H_E) P.W. (H_E) Deptt Chandmari, Ghy-3 ","O/O The CE (H_E) P.W. (H_E) Deptt Chandmari, Ghy-3 ",22-Oct-2025 11:30 AM ,"O/O The CE (H_E) P.W. (H_E) Deptt Chandmari, Ghy-3",No ,No,AOC,12-Mar-2026,"INR 229,147,647",545.0,ABIDUR RAHMAN,12-Mar-2026 06:06 PM,WOKARIMGANJCCHB.pdf (1062.00 KB),1.0,285544.0,M/S MAQ INFRA PROJECTS,INR,"229,147,647",1.0,285544.0,M/S MAQ INFRA PROJECTS,05-Nov-2025 02:24 PM,Accepted-AOC,Work Order Issued,12-Mar-2026 06:06 PM,Finance,Summary,Chandana Basumatary,29-Nov-2025 04:43 PM,finance_76594.pdf,BOQ Comparative Chart,CE PWD(Bldg),Internal,,ABIDUR RAHMAN,12-Mar-2026 06:00 PM,finsummary_76594.pdf (1062.49 KB),Public Works Building and NH Department||Chief Engineer-Building - PWBNH,2025_PWBNH_48142_1,CE/TB-IV/29/2024/12 dated Guwahati 08/10/2025,"Construction of 50 Bedded New Critical Care Hospital Block (G Plus 4) Hospital at Karimganj Medical College and Hospital at R.K. Nagar, Sribhumi District Assam",Technical,Summary,Chandana Basumatary,07-Nov-2025 02:10 PM,technical_76594.pdf,CE PWD(Bldg),Internal,,ABIDUR RAHMAN,29-Nov-2025 04:24 PM,29-Nov-2025 04:25 PM,techsummary_76594.pdf (1173.58 KB),AOC
,,,,,,,,,,,,,,,,.pdf,BIDDING DOCUMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,2.0,285540.0,SRI ABDUL MATIN,05-Nov-2025 02:23 PM,Rejected-AOC,L2,12-Mar-2026 06:06 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,TECHNICAL QUALIFICATIONS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,APPENDIX-IB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
