Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
National Health Mission||State Programme Management Unit - NHM,NHM-32049/2/2024-CONS,2024_NHM_38329_15,Yes,Open Tender,Turn-key,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,SBD,05-Aug-2024 06:00 PM,20-Aug-2024 03:30 PM,05-Aug-2024 06:00 PM,19-Aug-2024 02:00 PM,NA ,NA ,05-Aug-2024 06:00 PM,19-Aug-2024 02:00 PM,28-Mar-2025 04:50 PM,"2,00,000",Yes,percentage,2.0%,Nil,Nil,1.0,SBI Bank,"2,000",Nil,Nil,No,"MD, NHM","O/o MD, NHM, Assam","Construction of BPHU at Ramkrishna Nagar PHC and Nilambazar PHC in Karimganj District under PM ABHIM for the FY 2025-26 under NHM, Assam on Turnkey Basis Group no-15 (2 nos. of Scheme in Karimganj District)","Construction of BPHU at Ramkrishna Nagar PHC and Nilambazar PHC in Karimganj District under PM ABHIM for the FY 2025-26 under NHM, Assam on Turnkey Basis Group no-15 (2 nos. of Scheme in Karimganj District)",Please refer Tender documents. ,NA ,"1,00,00,000",Civil Works - Building,NA ,Tender,180.0,NA ,Karimganj,781005.0,NA ,NA ,NA ,"O/o MD, NHM, Assam",No ,No,AOC,16-Mar-2026,"INR 9,400,000",270.0,Dipankar Barman,16-Mar-2026 03:07 PM,woram.pdf (243.00 KB),work allotted,1.0,236593.0,NACHIR UDDIN LASKAR,INR,"9,400,000",1,237265,ABDUL GAFFAR,19-Aug-2024 01:19 PM,Rejected-Technical,Not Admitted,28-Mar-2025 04:42 PM,Finance,financial bid opened,Dipankar Barman,16-Mar-2026 03:04 PM,,BOQ Comparative Chart,osd,Internal,,Dipankar Barman,16-Mar-2026 03:05 PM,finsummary_62165.pdf (243.16 KB),National Health Mission||State Programme Management Unit - NHM,2024_NHM_38329_15,NHM-32049/2/2024-CONS,"Construction of BPHU at Ramkrishna Nagar PHC and Nilambazar PHC in Karimganj District under PM ABHIM for the FY 2025-26 under NHM, Assam on Turnkey Basis Group no-15 (2 nos. of Scheme in Karimganj District)",Technical,Technical bid opneing,Dipankar Barman,28-Mar-2025 04:38 PM,,osd,Internal,,Dipankar Barman,28-Mar-2025 04:42 PM,28-Mar-2025 04:50 PM,techsummary_62165.pdf (1215.53 KB),AOC
,,,,,,,,,,,,,,,,.pdf,TECHNICAL QUALIFICATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,2,237183,MD SAD UDDIN,18-Aug-2024 08:42 PM,Rejected-Technical,Not Admitted,28-Mar-2025 04:42 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,EMD AND TENDER FEE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,3,236992,MD.SALIM AHMED,19-Aug-2024 11:35 AM,Rejected-Technical,Not Admitted,28-Mar-2025 04:42 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,4,237103,Muktar Hussain Barbhuiya,19-Aug-2024 01:24 PM,Rejected-Technical,Not Admitted,28-Mar-2025 04:42 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,FOB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,5,236593,NACHIR UDDIN LASKAR,19-Aug-2024 01:18 AM,Accepted-AOC,work allotted,16-Mar-2026 03:07 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
