Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
Health and Family Welfare Department||Directorate of Medical Education-HFWD||FAA Medical College and Hospital-Barpeta-HFWD,CCLTENDER/621/2026/377,2026_HFWD_50387_1,Yes,Open Tender,Item Wise,Goods,2.0,No,Yes,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,NIT,22-Jan-2026 10:00 AM,12-Feb-2026 03:30 PM,22-Jan-2026 01:00 PM,12-Feb-2026 02:00 PM,NA ,NA ,02-Feb-2026 12:30 PM,12-Feb-2026 02:00 PM,12-Mar-2026 12:00 PM,"1,00,000",Yes,fixed,,Nil,Nil,1.0,SBI Bank,"2,000",Nil,Nil,No,"Principal, FAAMCH, Barpeta","Office of the Principal, FAAMCH, Jatigaon, Jania Road, Barpeta, Assam","Supply of Lab reagent, chemical and consumables","Supply of laboratory reagent, chemicals and consumables for Microbiology, Pathology and Biochemistry department of FAAMCH, Barpeta",Please refer bid document ,NA ,,Lab Chemistry Reagents,NA ,Rate Contract,180.0,365.0,"FAAMCH, Barpeta",781301.0,"Office of the Principal, FAAMCH, Jatigaon, Jania R ","Office of the Principal, FAAMCH, Jatigaon, Jania Road, Barpeta, Assam ",28-Jan-2026 12:30 PM ,"Office of the Principal, FAAMCH, Barpeta",No ,No,AOC,01-Apr-2026,INR 0,365.0,Utpal Sharma,15-Mar-2026 02:03 PM,AOCccl.pdf (1790.00 KB),"Rate contract for procurement of Laboratory Reagents, Chemicals and Consumables for Microbiology, Pathology and Biochemistry department of Barpeta Medical College and Hospital for the FY 2026-27",1.0,297392.0,North East Enterprise,INR,0.0,1,297519,ASSAM CHEMICALS & INSTRUMENTS CORPORATION,12-Feb-2026 01:50 PM,Rejected-Technical,Technically disqualified,11-Mar-2026 05:19 PM,Finance,Financial bids are opened for evaluation,Balmiki Datta,12-Mar-2026 04:51 PM,,BOQ Comparative Chart,Vice Principal,Internal,"Superintendent, Prof and HOD of Biochemistry, Prof and HOD of Microbiology, Asstt Prof of Pathology, Deputy Superintendent and Finance Adviser",Utpal Sharma,15-Mar-2026 01:57 PM,finsummary_80232.pdf (2390.57 KB),Health and Family Welfare Department||Directorate of Medical Education-HFWD||FAA Medical College and Hospital-Barpeta-HFWD,2026_HFWD_50387_1,CCLTENDER/621/2026/377,"Supply of Lab reagent, chemical and consumables",Technical,"In presence of the members of tender evaluation committee, the online bids were opened and extracted for technical evaluation. Financial evaluation will be done once technical evaluation is finished, and the bidders will be selected.",Balmiki Datta,13-Feb-2026 05:48 PM,,Vicce Principal,Internal,"Superintendent, HOD of Microbiology, HOD of Biochemistry, In Charge CMS, Dr Apurba Bharali, Financial Adviser",Utpal Sharma,11-Mar-2026 05:19 PM,12-Mar-2026 12:00 PM,techsummary_80232.pdf (24937.66 KB),AOC
,,,,,,,,,,,,,,,,.pdf,Tender Document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,2.0,297375.0,SOLUTIONS NORTH EAST,INR,0.0,2,297373,DYGNOVA HEALTHCARE PVT.LTD,12-Feb-2026 12:58 PM,Rejected-Technical,Technically disqualified,11-Mar-2026 05:19 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,OM for Online Payment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,3.0,297320.0,Shelly Enterprise,INR,0.0,3,296809,Jyoti Pharmaceuticals,12-Feb-2026 10:34 AM,Accepted-AOC,Technically and financially qualified,15-Mar-2026 02:03 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,4.0,297316.0,U D Scientific,INR,0.0,4,296866,KRITARTHA TRADERS,10-Feb-2026 09:03 PM,Accepted-AOC,Technically and financially qualified,15-Mar-2026 02:03 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,5.0,297281.0,S.B Suppliers,INR,0.0,5,297115,M/s MD Associates,12-Feb-2026 09:21 AM,Accepted-AOC,Technically and financially qualified,15-Mar-2026 02:03 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,6.0,297115.0,M/s MD Associates,INR,0.0,6,297392,North East Enterprise,11-Feb-2026 08:31 PM,Accepted-AOC,Technically and financially qualified,15-Mar-2026 02:03 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,7.0,296866.0,KRITARTHA TRADERS,INR,0.0,7,297281,S.B Suppliers,12-Feb-2026 12:35 PM,Accepted-AOC,Technically and financially qualified,15-Mar-2026 02:03 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,8.0,296809.0,Jyoti Pharmaceuticals,INR,0.0,8,297320,Shelly Enterprise,11-Feb-2026 07:21 PM,Accepted-AOC,Technically and financially qualified,15-Mar-2026 02:03 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,9.0,296782.0,United Traders,INR,0.0,9,297375,SOLUTIONS NORTH EAST,11-Feb-2026 05:28 PM,Accepted-AOC,Technically and financially qualified,15-Mar-2026 02:03 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,10,297316,U D Scientific,11-Feb-2026 09:07 PM,Accepted-AOC,Technically and financially qualified,15-Mar-2026 02:03 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
