Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
Public Works Roads Department,CE/DEV/TB/60/2025-26/13 Dtd- 31.07.2025,2025_PWD_46685_13,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,BID COST_BID SECURITY,20-Aug-2025 06:00 PM,09-Sep-2025 02:30 PM,20-Aug-2025 06:00 PM,08-Sep-2025 02:00 PM,20-Aug-2025 06:00 PM ,08-Sep-2025 12:00 PM ,22-Aug-2025 02:30 PM,08-Sep-2025 02:00 PM,04-Dec-2025 04:00 PM,"5,84,000",Yes,fixed,,Nil,Nil,1.0,SBI Bank,"5,840",Nil,Nil,No,"CE, PWD(Roads), Assam, Chandmari, Ghy-3","CE, PWD(Roads), Assam, Chandmari, Ghy-3",MMPPNA_RIDF_XXXI_25_26_386 Construction of Ahutoli to Balijuri Road (From Ch. 0.00 m to Ch. 3000.00 m) under Mukhya Mantrir Pakipath Nirman Achani (MMPPNA) under RIDF - XXXI of NABARD for the Year 2025-26,MMPPNA_RIDF_XXXI_25_26_386 Construction of Ahutoli to Balijuri Road (From Ch. 0.00 m to Ch. 3000.00 m) under Mukhya Mantrir Pakipath Nirman Achani (MMPPNA) under RIDF - XXXI of NABARD for the Year 2025-26,Please refer Tender Documents ,NA ,"2,92,01,000",Civil Works – Roads,NA ,Tender,180.0,270.0,Karbi Anglong,782410.0,"CE, PWD(Roads), Assam, Chandmari, Ghy-3 ","CE, PWD(Roads), Assam, Chandmari, Ghy-3 ",21-Aug-2025 12:00 PM ,"CE, PWD(Roads), Assam, Chandmari, Ghy-3",No ,No,AOC,09-Mar-2026,"INR 29,200,650",270.0,Brajen Kakati,09-Mar-2026 04:11 PM,386Aa.pdf (502.00 KB),1.0,279768.0,Mintu Bora,INR,"29,200,650",1.0,279768.0,Mintu Bora,07-Sep-2025 07:28 PM,Accepted-AOC,Awarded,09-Mar-2026 04:11 PM,Finance,Admitted,Brajen Kakati,09-Mar-2026 04:07 PM,,BOQ Comparative Chart,CE PWRD,Internal,,Brajen Kakati,09-Mar-2026 04:10 PM,finsummary_74456.pdf (327.39 KB),Public Works Roads Department,2025_PWD_46685_13,CE/DEV/TB/60/2025-26/13 Dtd- 31.07.2025,MMPPNA_RIDF_XXXI_25_26_386 Construction of Ahutoli to Balijuri Road (From Ch. 0.00 m to Ch. 3000.00 m) under Mukhya Mantrir Pakipath Nirman Achani (MMPPNA) under RIDF - XXXI of NABARD for the Year 2025-26,Technical,Admitted,Manoj Kr. Nath,04-Dec-2025 01:02 PM,,CE PWRD,Internal,,Manoj Kr. Nath,04-Dec-2025 01:04 PM,04-Dec-2025 04:00 PM,techsummary_74456.pdf (208.39 KB),AOC
,,,,,,,,,,,,,,,,.pdf,BIDDING DOCUMENTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,2.0,279772.0,Sahadev Basumatary,07-Sep-2025 08:37 PM,Rejected-Finance,Rejected,09-Mar-2026 04:10 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,TECHNICAL QUALIFICATIONS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,FOB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
