Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
Gauhati University,GU/RUSA2.0/Tender/2026-8 Date 20.02.2026,2026_GU_51379_1,Yes,Open Tender,Item Rate,Services,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Tender Document,20-Feb-2026 04:00 PM,02-Mar-2026 03:00 PM,20-Feb-2026 04:00 PM,02-Mar-2026 12:00 PM,NA ,NA ,20-Feb-2026 04:00 PM,02-Mar-2026 12:00 PM,02-Mar-2026 04:15 PM,"27,000",No,fixed,,Nil,Nil,1.0,SBI Bank,300.0,Nil,Nil,No,"The Registrar, Gauhati University","The Registrar, Gauhati University","Provision, configuration, deployment and managed support of a bundled public cloud infrastructure solution for Gauhati University","Provision, configuration, deployment and managed support of a bundled public cloud infrastructure solution for Gauhati University",Please refer Tender documents. ,NA ,,Information Technology,NA ,Tender,90.0,30.0,Gauhati University,781014.0,NA ,NA ,NA ,"Office of the Works Department, GU",No ,No,AOC,09-Mar-2026,"INR 1,349,950",30.0,Sazidur Rahman,09-Mar-2026 03:18 PM,workorder.pdf (2052.00 KB),1.0,299935.0,PRAYAKH INFOTECH,INR,"1,349,950",1,299997,BASUDEV DAS,28-Feb-2026 07:34 PM,Rejected-Finance,Not being the lowest bidder,09-Mar-2026 03:10 PM,Finance,The financial evaluation of the submitted price bid will be carried out and a summary of the financial evaluation will be uploaded later,Tulshi Bezboruah,02-Mar-2026 04:22 PM,finance_81584.pdf,BOQ Comparative Chart,"Registrar, Gauhati University",Internal,,Sazidur Rahman,09-Mar-2026 03:10 PM,finsummary_81584.pdf (780.55 KB),Gauhati University,2026_GU_51379_1,GU/RUSA2.0/Tender/2026-8 Date 20.02.2026,"Provision, configuration, deployment and managed support of a bundled public cloud infrastructure solution for Gauhati University",Technical,Technical Evaluation of the submitted bid will be carried out and summary of Technical Evaluation will be uploaded later,Sazidur Rahman,02-Mar-2026 03:20 PM,technical_81584.pdf,"Registrar, Gauhati University",Internal,,Sazidur Rahman,02-Mar-2026 04:12 PM,02-Mar-2026 04:15 PM,techsummary_81584.pdf (781.59 KB),AOC
,,,,,,,,,,,,,,,,.pdf,Technical Qualification Document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,2,299894,E-YANTRA,28-Feb-2026 02:13 PM,Rejected-Technical,Technically disqualified,02-Mar-2026 04:12 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,3,299935,PRAYAKH INFOTECH,28-Feb-2026 06:33 PM,Accepted-AOC,Being the lowest bidder,09-Mar-2026 03:18 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,4,300008,YANTRAM ASSOCIATES,28-Feb-2026 08:05 PM,Rejected-Technical,Technically disqualified,02-Mar-2026 04:12 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
