Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
Urban Development Department||Directorate of Municipality Administration - UDD||Narayanpur Municipal Board,NMB/69/2024-25/168,2025_UDD_48831_1,Yes,Open Tender,Item Rate,Goods,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Bid Document,25-Nov-2025 11:00 AM,17-Dec-2025 11:00 AM,25-Nov-2025 11:00 AM,16-Dec-2025 04:00 PM,25-Nov-2025 11:00 AM ,16-Dec-2025 04:00 PM ,25-Nov-2025 11:00 AM,16-Dec-2025 04:00 PM,23-Dec-2025 02:40 PM,"90,000",Yes,fixed,,Nil,Nil,1.0,SBI Bank,"10,000",Nil,Nil,Yes,Executive Officer,Narayanpur Municipal Board,"Supplying, Commissioning and Training for Usage of Backhoe Loader at Narayanpur Municipal Board","Supplying, Commissioning and Training for Usage of Backhoe Loader at Narayanpur Municipal Board inclusive of GST and other taxes, insurance, registration, 2 years warranty, operator training etc at Narayanpur Municipal Town Area",As per Bid Document ,NA ,"44,55,000",Machineries,NA ,Tender,180.0,30.0,"Narayanpur Municipal Board, Narayanpur",784164.0,NA ,NA ,NA ,Narayanpur Municipal Board,No ,No,AOC,16-Jan-2026,"INR 4,155,000",30.0,Shraddha Sinha,17-Jan-2026 03:31 PM,AOC.pdf (451.00 KB),The L1 Bidder shyam earthmovers has been awarded the contract to proceed with the supply of the Goods as per the BID Document.,1.0,289464.0,SHYAM EARTHMOVERS,INR,"4,155,000",1.0,289494.0,BHAJANKA GLOBAL,16-Dec-2025 02:04 PM,Rejected-Finance,Higher Bid Value,24-Dec-2025 04:24 PM,Finance,Financially admitted,Dharmistha Dutta,24-Dec-2025 04:18 PM,finance_77522.pdf,BOQ Comparative Chart,Harish Chandak,Mixed,"Harish Chandak, sarbana sonowal, Anurag Anand Das, Rupjyoti Saikia, Dipak Mazumdar, Upen Chandra Saikia, Hiranya Baruah, Dharmistha Dutta",Dharmistha Dutta,24-Dec-2025 04:24 PM,finsummary_77522.pdf (442.79 KB),Urban Development Department||Directorate of Municipality Administration - UDD||Narayanpur Municipal Board,2025_UDD_48831_1,NMB/69/2024-25/168,"Supplying, Commissioning and Training for Usage of Backhoe Loader at Narayanpur Municipal Board",Technical,Technically admitted,Dharmistha Dutta,23-Dec-2025 02:24 PM,,Harish Chandak,Mixed,"Harish Chandak, Sarbana Sonowal, Anurag Anand Das,Rupjyoti Saikia, Dipak Mazumdar, Upen Chandra Saikia, Hiranya Baruah, Dharmistha Dutta",Dharmistha Dutta,23-Dec-2025 02:37 PM,23-Dec-2025 02:40 PM,techsummary_77522.pdf (431.08 KB),AOC
,,,,,,,,,,,,,,,,.pdf,DNIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,2.0,289464.0,SHYAM EARTHMOVERS,16-Dec-2025 12:48 PM,Accepted-AOC,L1 Bid Technically and financially Responsive,17-Jan-2026 03:32 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,SNIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,Technical Qualifying Document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
